user,host,message,_time
alice,server01,Failed password for user,2025-10-21 09:00:00
alice,server01,Failed password for user,2025-10-21 09:02:00
alice,server01,Failed password for user,2025-10-21 09:04:00
alice,server01,Failed password for user,2025-10-21 09:06:00
alice,server01,Failed password for user,2025-10-21 09:08:00
alice,server01,Failed password for user,2025-10-21 09:10:00
bob,server02,Failed password for user,2025-10-21 09:00:00
bob,server02,Failed password for user,2025-10-21 09:02:00
bob,server02,Failed password for user,2025-10-21 09:04:00
bob,server02,Failed password for user,2025-10-21 09:06:00
charlie,server03,Failed password for user,2025-10-21 09:00:00
charlie,server03,Failed password for user,2025-10-21 09:02:00
charlie,server03,Failed password for user,2025-10-21 09:04:00
charlie,server03,Failed password for user,2025-10-21 09:06:00
